id,Name,Artists,started,Address,Notes,Commisioned,District,images,location
m0135,,"ELLEN RUTT ] , [ PATRICK ETHEN",9/22/2016,"579 Monroe Street, Detroit, MI",,,,https://www.dropbox.com/s/og4uxt8im95xfum/m0135.jpg?dl=0,
m0136,,KATIE YAMASAKI,9/22/2013,"9402 Felch St, Detroit, MI",(in parking lot),,4,https://www.dropbox.com/s/cv8regzd7s9qxzk/m0136.jpg?dl=0,
m0137,,OLAYAMI DABLS,9/1/2016,"1950 Wilkins Street, Detroit, MI",,,,https://www.dropbox.com/s/22lq9lqirld2r1b/m0137.jpg?dl=0,
m0138,,"SHAINA KASZTELAN ] , [ HEIDI BARLOW",9/22/2016,"1353 Division Street, Detroit, MI",,,,https://www.dropbox.com/s/mk34cguo8yf2p96/m0138.jpg?dl=0,
m0139,,SHEEFY MCFLY,9/1/2016,"2719 Russell Street, Detroit, MI",,,,https://www.dropbox.com/s/qronr2aaqqi5e2d/m0139.jpg?dl=0,
m0140,,CLIFTON PERRY,9/1/2016,"1500 Alfred Street, Detroit, MI",,,,https://www.dropbox.com/s/92pjb8yyyudmr4e/m0140.jpg?dl=0,
m0141,,FEL3000FT,1/22/2013,"Dequindre Cut Greenway, Detroit, MI 48207",,,,https://www.dropbox.com/s/g2jsqwtms7chkbr/m0141.jpg?dl=0,"-83.033528, 42.343990"
m0142,,unknown,1/22/2013,"Dequindre Cut Greenway, Detroit, MI 48207",,,,https://www.dropbox.com/s/uqszy9gkowvcob7/m0142.jpg?dl=0,"-83.033528, 42.343990"
m0144,,BEN SAGINAW,9/22/2016,"2741 Russell St, Detroit, MI",,,,https://www.dropbox.com/s/w57smp8hdfob1wy/m0144.jpg?dl=0,
m0145,,FEL3000FT,9/22/2015,"2613 Russell St, Detroit, MI",,,,https://www.dropbox.com/s/i9q8kwfpyh9vto1/m0145.jpg?dl=0,
